class,rsi,adx,trend,preds,buy_sell,Date,Open,High,Low,Close,Volume,profits,,,,buy_thresh,0.65
1,45.43271696,28.69495934,254.9289318,0.343362123,-1,10/25/2017,5524.6,5754.33,5397.88,5750.8,1966990000,-226.2,,,,,
1,52.82014185,27.13888638,442.1621746,0.383242458,0,10/26/2017,5747.95,5976.8,5721.22,5904.83,1905040000,0,,,,,
0,56.65055915,26.37573921,560.7424876,0.410384297,0,10/27/2017,5899.74,5988.39,5728.82,5780.9,1710130000,0,,,,,
0,49.94087756,25.70123493,402.7807881,0.383242458,0,10/28/2017,5787.82,5876.72,5689.19,5753.09,1403920000,0,,,,,
1,48.12530136,24.90262187,342.3003566,0.383242458,0,10/29/2017,5754.44,6255.71,5724.58,6153.85,2859040000,0,,,,,
1,64.09898364,25.2308655,711.6967423,0.407636851,0,10/30/2017,6114.85,6214.99,6040.85,6130.53,1772150000,0,,,,,
1,63.1498098,25.53566315,639.5633378,0.407636851,0,10/31/2017,6132.02,6470.43,6103.33,6468.4,2311380000,0,,,,,
1,72.55891161,26.42533062,931.5487375,0.407636851,0,11/1/2017,6440.97,6767.31,6377.88,6767.31,2870320000,0,,,,,
1,78.35123445,27.83177474,1155.772438,0.45575881,0,11/2/2017,6777.77,7367.33,6758.72,7078.5,4653770000,0,,,,,
1,83.02711593,29.99181444,1351.385195,0.45575881,0,11/3/2017,7087.53,7461.29,7002.94,7207.76,3369860000,0,,,,,
1,85.40274133,32.10559216,1283.819371,0.495034248,0,11/4/2017,7164.48,7492.86,7031.28,7379.95,2483800000,0,,,,,
1,88.41027327,34.10557867,1240.780459,0.495034248,0,11/5/2017,7404.52,7617.48,7333.19,7407.41,2380410000,0,,,,,
0,90.50777599,36.1106773,1051.649986,0.384701431,0,11/6/2017,7403.22,7445.77,7007.31,7022.76,3111900000,0,,,,,
1,70.39901707,36.49471762,439.8903884,0.407636851,0,11/7/2017,7023.1,7253.32,7023.1,7144.38,2326340000,0,,,,,
1,73.13926323,36.85132648,375.2805185,0.38209033,0,11/8/2017,7141.38,7776.42,7114.02,7459.69,4602200000,0,,,,,
0,77.60674704,37.98458352,537.8820251,0.45575881,0,11/9/2017,7446.83,7446.83,7101.52,7143.58,3226250000,0,,,,,
0,63.11609348,38.98328354,50.84962011,0.566367567,0,11/10/2017,7173.73,7312,6436.87,6618.14,5208250000,0,,,,,
0,46.07330667,37.52677578,-1158.28,0.587637842,0,11/11/2017,6618.61,6873.15,6204.22,6357.6,4908680000,0,,,,,
0,38.33044931,35.52664969,-1418.82,0.659629881,1,11/12/2017,6295.45,6625.05,5519.01,5950.07,8957350000,-345.38,,,,,
1,28.90969273,33.83556442,-1763.462,0.831810236,1,11/13/2017,5938.25,6811.19,5844.29,6559.49,6263250000,621.24,,,,,
1,43.99201396,31.83373047,-1022.37068,0.589806199,0,11/14/2017,6561.48,6764.98,6461.75,6635.75,3197110000,0,,,,,
1,44.39031873,29.97488467,-822.3396392,0.589806199,0,11/15/2017,6634.76,7342.25,6634.76,7315.54,4200880000,0,,,,,
1,57.43668671,28.64827838,-26.71,0.557666004,0,11/16/2017,7323.24,7967.38,7176.58,7871.69,5123810000,0,,,,,
0,65.50523911,28.42554654,2352.68,0.407636851,0,11/17/2017,7853.57,8004.59,7561.09,7708.99,4651670000,0,,,,,
1,62.5123796,28.27254588,2189.98,0.327302754,-1,11/18/2017,7697.21,7884.99,7463.44,7790.15,3667190000,-92.94,,,,,
