currency,train_start,forecast_actual,volatility,actual_val,num_forecast_vals,mspe,mae,mape,pm,optimal_p,optimal_q,optimal_d,optimal_aic,risk_adj_return,buy_sell,profits
ethereum,17477,300.4564339,33.47170666,294.66,1,33.5986464,5.796433938,0.019671601,Inf,1,0,0,-121.2677654,0.061129196,0,0
ethereum,17478,296.650646,32.56457106,309.07,1,154.2403527,12.41935395,0.040182981,Inf,1,0,0,-122.081328,0.141067098,1,0
ethereum,17479,313.5055782,31.44303816,320.88,1,54.38209761,7.374421849,0.022981868,Inf,0,3,0,-120.2993968,-0.12969702,-1,11.81
ethereum,17480,316.8964943,30.71393381,299.25,1,311.3987616,17.64649431,0.05896907,Inf,0,3,0,-120.1331133,-0.214191904,-1,21.63
ethereum,17481,292.6666684,30.73566978,314.68,1,484.5867693,22.01333163,0.069954658,Inf,0,3,0,-115.8907303,-0.018724473,0,-15.43
ethereum,17482,314.0267535,34.88730909,307.91,1,37.41467381,6.116753535,0.019865394,Inf,1,0,0,-121.1206122,0.00562632,0,0
ethereum,17483,308.1036196,34.41317623,316.72,1,74.24201196,8.616380444,0.027205041,Inf,1,0,0,-120.9667102,-0.070317105,0,0
ethereum,17484,314.2493049,35.13647296,337.63,1,546.6569018,23.38069507,0.06924946,Inf,1,0,0,-121.1246688,-0.206709882,-1,0
ethereum,17485,329.3974038,39.82681512,333.36,1,15.70216903,3.962596249,0.011886838,Inf,1,0,0,-116.4499734,-0.219616484,-1,4.27
ethereum,17486,325.2183907,37.07194085,330.92,1,32.50834865,5.701609303,0.01722957,Inf,1,0,0,-120.0517753,-0.181779504,-1,2.44
ethereum,17487,324.2052023,36.93924527,332.39,1,66.99091311,8.184797683,0.024624079,Inf,1,0,0,-120.0129787,-0.165943574,-1,-1.47
ethereum,17488,326.216415,37.20291676,347.61,1,457.6854777,21.39358497,0.061544791,Inf,1,0,0,-119.8483234,-0.157572473,-1,-15.22
ethereum,17489,341.2466815,40.38344016,354.39,1,172.746822,13.14331853,0.03708716,Inf,0,1,1,-116.1345445,-0.188766452,-1,-6.78
ethereum,17490,347.3001946,37.5586092,366.73,1,377.5173374,19.42980539,0.052981227,Inf,0,3,1,-115.2702964,0,0,-12.34
ethereum,17491,366.73,46.77337194,360.4,1,40.0689,6.33,0.017563818,Inf,0,0,1,-114.2713624,-0.017088337,0,0
ethereum,17492,359.9201631,28.07979074,380.65,1,429.7261388,20.72983692,0.054459049,Inf,5,2,1,-115.0233627,0,0,0
ethereum,17493,380.65,49.2780766,410.17,1,871.4304,29.52,0.071970159,Inf,0,0,1,-113.4077231,-0.012704539,0,0
ethereum,17494,409.6421775,41.54597849,474.91,1,4259.888655,65.26782251,0.137431982,Inf,0,5,1,-108.7949175,0,0,0
ethereum,17495,474.91,83.80572066,466.28,1,74.4769,8.63,0.018508193,Inf,0,0,1,-95.47526042,0,0,0
ethereum,17496,466.28,82.51283682,471.33,1,25.5025,5.05,0.010714361,Inf,0,0,1,-95.31376607,0,0,0
ethereum,17497,471.33,83.47866758,480.36,1,81.5409,9.03,0.018798401,Inf,0,0,1,-95.26372239,0,0,0
ethereum,17498,480.36,84.72006497,472.9,1,55.6516,7.46,0.015775005,Inf,0,0,1,-95.50761691,0,0,0
ethereum,17499,472.9,83.52539503,427.52,1,2059.3444,45.38,0.106147081,Inf,0,0,1,-95.42372689,0,0,0
ethereum,17500,427.52,81.78865325,447.11,1,383.7681,19.59,0.043814721,Inf,0,0,1,-90.80420491,0,0,0
ethereum,17501,447.11,85.3811445,466.54,1,377.5249,19.43,0.041647018,Inf,0,0,1,-90.9092614,0,0,0
ethereum,17502,466.54,90.12308481,463.45,1,9.5481,3.09,0.006667386,Inf,0,0,1,-90.24360729,0,0,0
ethereum,17503,463.45,87.09024755,465.85,1,5.76,2.4,0.005151873,Inf,0,0,1,-91.83879695,0,0,0
ethereum,17504,465.85,87.36121738,470.2,1,18.9225,4.35,0.009251382,Inf,0,0,1,-91.95785035,0,0,0
ethereum,17505,470.2,88.10162885,463.28,1,47.8864,6.92,0.014936971,Inf,0,0,1,-92.00728843,0,0,0
ethereum,17506,463.28,86.89834888,428.59,1,1203.3961,34.69,0.080939826,Inf,0,0,1,-91.94514742,0,0,0
ethereum,17507,428.59,83.88150468,434.41,1,33.8724,5.82,0.013397482,Inf,0,0,1,-89.48781461,0,0,0
ethereum,17508,434.41,83.77003963,456.03,1,467.4244,21.62,0.047409162,Inf,0,0,1,-90.34456022,0,0,0
ethereum,17509,456.03,88.53782319,473.5,1,305.2009,17.47,0.036895459,Inf,0,0,1,-89.95227208,0,0,0
